date,thscode,open,high,low,close,volume,open_interest
2026-03-23,P2609.DCE,9686,9906,9632,9888,141901,
2026-03-24,P2609.DCE,9660,9740,9508,9622,173245,
2026-03-25,P2609.DCE,9614,9658,9440,9510,135156,
2026-03-26,P2609.DCE,9536,9626,9486,9610,116863,
2026-03-27,P2609.DCE,9668,9728,9572,9724,144092,
2026-03-30,P2609.DCE,9780,9946,9648,9900,221745,
2026-03-31,P2609.DCE,9910,10062,9806,9888,329840,
2026-04-01,P2609.DCE,10088,10168,9810,9824,420107,
2026-04-02,P2609.DCE,9900,10056,9756,10008,314976,
2026-04-03,P2609.DCE,10086,10116,9920,9988,272888,
2026-04-07,P2609.DCE,10034,10058,9942,9988,205584,
2026-04-08,P2609.DCE,9988,9988,9402,9568,520220,
2026-04-09,P2609.DCE,9534,9678,9508,9650,301645,
2026-04-10,P2609.DCE,9688,9752,9616,9621,490555,
2026-04-13,P2609.DCE,9568,9670,9518,9546,455013,
2026-04-14,P2609.DCE,9559,9577,9407,9433,447821,
2026-04-15,P2609.DCE,9420,9429,9302,9411,442510,
2026-04-16,P2609.DCE,9421,9425,9325,9402,424511,
2026-04-17,P2609.DCE,9430,9508,9388,9492,494791,
2026-04-20,P2609.DCE,9312,9516,9200,9486,571728,
2026-04-21,P2609.DCE,9481,9794,9434,9730,866656,
2026-04-22,P2609.DCE,9720,9858,9695,9822,808555,
2026-04-23,P2609.DCE,9864,9885,9730,9781,674372,
2026-04-24,P2609.DCE,9742,9855,9711,9778,678358,
2026-04-27,P2609.DCE,9773,9900,9748,9785,643286,
2026-04-28,P2609.DCE,9760,9828,9672,9759,690740,
2026-04-29,P2609.DCE,9750,9800,9654,9780,622281,
2026-04-30,P2609.DCE,9850,9877,9773,9821,457972,
2026-05-06,P2609.DCE,9888,9993,9804,9864,465649,
2026-05-07,P2609.DCE,9701,9830,9676,9752,617586,
2026-05-08,P2609.DCE,9670,9756,9632,9680,567510,
2026-05-11,P2609.DCE,9650,9759,9632,9682,505459,
2026-05-12,P2609.DCE,9670,9704,9520,9565,610897,
2026-05-13,P2609.DCE,9580,9599,9477,9492,478975,
2026-05-14,P2609.DCE,9512,9554,9404,9405,536926,
2026-05-15,P2609.DCE,9372,9476,9366,9420,489421,
2026-05-18,P2609.DCE,9420,9594,9380,9576,566001,
2026-05-19,P2609.DCE,9524,9707,9492,9672,645269,
2026-05-20,P2609.DCE,9670,9858,9584,9721,804472,
2026-05-21,P2609.DCE,9685,9755,9511,9518,751749,
2026-05-22,P2609.DCE,9518,9550,9422,9471,711015,
2026-05-25,P2609.DCE,9449,9492,9332,9464,603728,
2026-05-26,P2609.DCE,9460,9540,9420,9433,623812,
2026-05-27,P2609.DCE,9475,9579,9438,9517,650819,
2026-05-28,P2609.DCE,9486,9622,9468,9599,538114,
2026-05-29,P2609.DCE,9593,9650,9552,9592,572228,
2026-06-01,P2609.DCE,9616,9732,9574,9729,587921,
2026-06-02,P2609.DCE,9742,9774,9687,9726,509826,
2026-06-03,P2609.DCE,9718,9788,9663,9766,747478,
2026-06-04,P2609.DCE,9800,9825,9559,9574,758756,
2026-06-05,P2609.DCE,9540,9588,9370,9382,727489,
2026-06-08,P2609.DCE,9420,9457,9285,9424,629239,
2026-06-09,P2609.DCE,9388,9422,9221,9265,620176,
2026-06-10,P2609.DCE,9298,9325,9208,9316,601898,
2026-06-11,P2609.DCE,9334,9420,9312,9393,502200,
2026-06-12,P2609.DCE,9388,9404,9306,9321,464294,
2026-06-15,P2609.DCE,9289,9324,9166,9232,627560,
2026-06-16,P2609.DCE,9197,9385,9151,9357,664364,
2026-06-17,P2609.DCE,9337,9430,9311,9349,610261,
2026-06-18,P2609.DCE,9375,9412,9220,9301,615514,
